Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.0.0.1-2133-80-6,10.0.0.2,2133,10.0.0.1,80,6,01/07/2024 07:28:06 PM,268605,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.445877775916308,268605.0,0.0,268605.0,268605.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.722938887958154,3.722938887958154,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1883-80-6,10.0.0.2,1883,10.0.0.1,80,6,01/07/2024 07:28:04 PM,10853,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.28084400626554,10853.0,0.0,10853.0,10853.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,92.14042200313277,92.14042200313277,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1905-80-6,10.0.0.2,1905,10.0.0.1,80,6,01/07/2024 07:28:05 PM,10380,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.67822736030828,10380.0,0.0,10380.0,10380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,96.33911368015414,96.33911368015414,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-3110-80-6,10.0.0.3,3110,10.0.0.1,80,6,01/07/2024 07:29:09 PM,12985,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.02387370042356,12985.0,0.0,12985.0,12985.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,77.01193685021178,77.01193685021178,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-3071-80-6,10.0.0.3,3071,10.0.0.1,80,6,01/07/2024 07:28:48 PM,10828,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.70631695603987,10828.0,0.0,10828.0,10828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,92.35315847801994,92.35315847801994,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1697-80-6,10.0.0.2,1697,10.0.0.1,80,6,01/07/2024 07:28:01 PM,10246,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.19812609798947,10246.0,0.0,10246.0,10246.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,97.59906304899474,97.59906304899474,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1736-80-6,10.0.0.2,1736,10.0.0.1,80,6,01/07/2024 07:28:02 PM,10139,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.25811223986585,10139.0,0.0,10139.0,10139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,98.62905611993293,98.62905611993293,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1753-80-6,10.0.0.2,1753,10.0.0.1,80,6,01/07/2024 07:28:02 PM,10692,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.05574261129817,10692.0,0.0,10692.0,10692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,93.52787130564909,93.52787130564909,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-3087-80-6,10.0.0.3,3087,10.0.0.1,80,6,01/07/2024 07:28:56 PM,15212,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.47515119642387,15212.0,0.0,15212.0,15212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,65.73757559821193,65.73757559821193,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1606-80-6,10.0.0.2,1606,10.0.0.1,80,6,01/07/2024 07:28:00 PM,10274,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.66614755693985,10274.0,0.0,10274.0,10274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,97.33307377846992,97.33307377846992,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
